timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,frame_len,ie_ids,ie_fingerprint,ie_vendor_ouis,seq_ctl,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2025-12-15 10:08:29+00:00,probe-resp,3a:46:32:52:a7:4e,6e:12:ba:e5:4c:6a,3a:46:32:52:a7:4e,ה-iPhone של Ron,-44,6,2437,31.289448,34.81279166666667,355.5,1,10,1.08,305,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:2404000000fcff,,35232,575.4339689999999,,,2202
2025-12-15 10:08:29+00:00,probe-resp,3a:46:32:52:a7:4e,6e:12:ba:e5:4c:6a,3a:46:32:52:a7:4e,ה-iPhone של Ron,-43,6,2437,31.289448,34.81279166666667,355.5,1,10,1.08,304,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:2404000000fcff,,35232,575.4339689999999,,,2202
2025-12-15 10:08:29+00:00,probe-resp,3a:46:32:52:a7:4e,6e:12:ba:e5:4c:6a,3a:46:32:52:a7:4e,ה-iPhone של Ron,-44,11,2462,31.2894395,34.81279416666667,355.7,1,10,1.08,325,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:2404000000fcff,,35232,575.4339689999999,,,2202
2025-12-15 10:08:29+00:00,probe-resp,3a:46:32:52:a7:4e,6e:12:ba:e5:4c:6a,3a:46:32:52:a7:4e,ה-iPhone של Ron,-47,11,2462,31.2894395,34.81279416666667,355.7,1,10,1.08,325,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:2404000000fcff,,35232,575.4339689999999,,,2202
2025-12-15 10:08:29+00:00,probe-resp,3a:46:32:52:a7:4e,68:3e:26:0a:18:d3,3a:46:32:52:a7:4e,ה-iPhone של Ron,-50,11,2462,31.2894395,34.81279416666667,355.7,1,10,1.08,326,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:2404000000fcff,,35232,575.4339689999999,,,2202
2025-12-15 10:08:29+00:00,beacon,3a:46:32:52:a7:4e,ff:ff:ff:ff:ff:ff,3a:46:32:52:a7:4e,ה-iPhone של Ron,-53,11,2462,31.2894395,34.81279416666667,355.7,1,10,1.08,326,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:24,,52832,660.602093,Broadcast,,3302
2025-12-15 10:08:29+00:00,beacon,3a:46:32:52:a7:4e,ff:ff:ff:ff:ff:ff,3a:46:32:52:a7:4e,ה-iPhone של Ron,-42,11,2462,31.2894395,34.81279416666667,355.7,1,10,1.08,326,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:24,,52832,660.602093,Broadcast,,3302
2025-12-15 10:08:29+00:00,beacon,3a:46:32:52:a7:4e,ff:ff:ff:ff:ff:ff,3a:46:32:52:a7:4e,ה-iPhone של Ron,-43,11,2462,31.2894395,34.81279416666667,355.7,1,10,1.08,325,,256,"1,50,48,45,127,255,255",1:82848b962430486c;50:0c121860;48:0100000fac040100000fac040100000fac020c00;45:2d001bffff000000000000000000000000000000000000000000;127:0400000000000040;255:230108001a0080202002000d009f08000000f5fff5ff391cc7711c07;255:24,,52832,660.602093,Broadcast,,3302
2025-12-15 10:08:29+00:00,probe-req,6e:12:ba:e5:4c:6a,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-68,6,2437,31.289448,34.81279166666667,355.5,1,10,1.08,304,,215,"1,50,45,127,255,255,221,221,221,221",1:82848b96;50:0c1218243048606c;45:2d001bffff000000000000000000000000000000000000000000;127:0400488001400040002120;255:020028;255:23010808180080203002800d019e000c0000f5fff5ff391cc7711c07;221:00904c0408bf0c7678910ffaff0000faff0020;221:0050f208001100;221:00101802000010000000;221:506f9a16030101650101,"00904c,0050f2,001018,506f9a",63696,571.995974,Broadcast,Broadcast,3981
2025-12-15 10:08:29+00:00,probe-req,68:3e:26:0a:18:d3,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,ה-iPhone של Ron,-49,11,2462,31.2894395,34.81279416666667,355.7,1,10,1.08,326,IntelCor,189,"1,50,45,127,255,255,221",1:02040b160c121824;50:3048606c;45:e70917ffff000000000000000000000000000000000000000000;127:0400c880014000000000;255:230178200ac0ab0e300e00fd098c0e0ff200fafffafffafffaff611cc771;255:020010;221:506f9a16030103650101,506f9a,5024,888.7848849999999,Broadcast,Broadcast,314
