timestamp_utc,event_type,address,address_type,rssi_dbm,company_id,company_name,adv_data_hex,flags,tx_power,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms
2025-12-29T11:15:14.246Z,heartbeat,,,,,,,,,31.264358333333334,34.804187,297.8,1,8,1.12,156
2025-12-29T11:15:16.246Z,heartbeat,,,,,,,,,31.264352833333334,34.8041915,297.9,1,8,1.12,156
2025-12-29T11:15:18.247Z,heartbeat,,,,,,,,,31.264358666666666,34.80419166666667,298.1,1,8,1.12,158
2025-12-29T11:15:20.248Z,heartbeat,,,,,,,,,31.264360833333335,34.80418266666667,298.3,1,8,1.12,162
2025-12-29T11:15:22.248Z,heartbeat,,,,,,,,,31.264361333333333,34.804181,298.0,1,8,1.12,160
2025-12-29T11:15:24.249Z,heartbeat,,,,,,,,,31.2643615,34.804178666666665,297.8,1,8,1.12,160
2025-12-29T11:15:26.250Z,heartbeat,,,,,,,,,31.264361833333332,34.804179833333336,297.6,1,8,1.12,161
2025-12-29T11:15:28.251Z,heartbeat,,,,,,,,,31.264364666666665,34.804179833333336,297.1,1,8,1.12,162
2025-12-29T11:15:30.251Z,heartbeat,,,,,,,,,31.264363833333334,34.80417883333333,296.5,1,8,1.12,163
2025-12-29T11:15:32.252Z,heartbeat,,,,,,,,,31.264363666666668,34.804178,296.4,1,7,1.39,164
2025-12-29T11:15:34.252Z,heartbeat,,,,,,,,,31.264358333333334,34.80417766666667,296.0,1,8,1.12,164
2025-12-29T11:15:36.253Z,heartbeat,,,,,,,,,31.264358,34.80417633333333,296.0,1,8,1.12,165
2025-12-29T11:15:38.254Z,heartbeat,,,,,,,,,31.264353,34.804177333333335,296.0,1,7,1.21,163
2025-12-29T11:15:40.254Z,heartbeat,,,,,,,,,31.2643565,34.804177,295.8,1,7,1.21,166
2025-12-29T11:15:42.255Z,heartbeat,,,,,,,,,31.2643575,34.80417283333333,296.0,1,7,1.21,167
2025-12-29T11:15:44.256Z,heartbeat,,,,,,,,,31.264358333333334,34.8041745,295.9,1,7,1.21,167
2025-12-29T11:15:46.256Z,heartbeat,,,,,,,,,31.264370333333332,34.804175,296.4,1,8,1.12,168
