timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,dst_mac_pcap,bssid_pcap,frame_len,ie_ids,ssid_pcap,frame_type_pcap,seq_ctl,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2025-12-21 12:04:51.020000+00:00,beacon,f0:1d:2d:b9:f4:21,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,eduroam,-44.0,6,2437,,,,0,0,99.99,680,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,380.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",eduroam,beacon,5440.0,,,,Broadcast,Cisco,340
2025-12-21 12:04:51.020000+00:00,beacon,f0:1d:2d:b9:f4:2a,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,iotred,-44.0,6,2437,,,,0,0,99.99,680,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,392.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",iotred,beacon,5488.0,,,,Broadcast,Cisco,343
2025-12-21 12:04:51.047000+00:00,probe-req,2c:59:8a:58:95:c1,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-42.0,6,2437,,,,0,0,99.99,681,LGElectr,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,175.0,"0,1,50,3,45,127,107,221,221,221,221",<MISSING>,probe-req,7664.0,,,,Broadcast,Broadcast,479
2025-12-21 12:04:51.066000+00:00,beacon,4e:7f:a1:a6:c0:68,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,M-WM-^T-iPhone M-WM-,-50.0,6,2437,,,,0,0,99.99,681,,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,361.0,"0,1,3,5,7,32,35,42,50,48,45,61,127",ה-iPhone של Ron,beacon,13376.0,,,,Broadcast,,836
2025-12-21 12:04:51.082000+00:00,probe-req,2c:59:8a:58:95:c1,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-42.0,6,2437,,,,0,0,99.99,682,LGElectr,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,175.0,"0,1,50,3,45,127,107,221,221,221,221",<MISSING>,probe-req,7680.0,,,,Broadcast,Broadcast,480
2025-12-21 12:04:51.122000+00:00,beacon,f0:1d:2d:b9:f4:21,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,eduroam,-45.0,6,2437,,,,0,0,99.99,682,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,380.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",eduroam,beacon,5520.0,,,,Broadcast,Cisco,345
2025-12-21 12:04:51.122000+00:00,beacon,f0:1d:2d:b9:f4:20,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,BGU-WIFI,-45.0,6,2437,,,,0,0,99.99,682,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,381.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,beacon,5504.0,,,,Broadcast,Cisco,344
2025-12-21 12:04:52.450000+00:00,heartbeat,nan,nan,nan,,,1,2412,,,,0,0,99.99,407,,,,,,,,,,,,,,
2025-12-21 12:04:52.572000+00:00,beacon,86:2a:fd:9a:d8:4d,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,DIRECT-4D-HP OfficeJet Pro 9010,-66.0,11,2462,,,,0,0,99.99,723,,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,493.0,"0,1,3,5,42,45,48,61,127,59,221",DIRECT-4D-HP OfficeJet Pro 9010,beacon,34176.0,,,,Broadcast,,2136
2025-12-21 12:04:52.674000+00:00,beacon,86:2a:fd:9a:d8:4d,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,DIRECT-4D-HP OfficeJet Pro 9010,-66.0,11,2462,,,,0,0,99.99,726,,ff:ff:ff:ff:ff:ff,86:2a:fd:9a:d8:4d,493.0,"0,1,3,5,42,45,48,61,127,59,221",DIRECT-4D-HP OfficeJet Pro 9010,beacon,34192.0,,,,Broadcast,,2137
