timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,dst_mac_pcap,bssid_pcap,frame_len,ie_ids,ssid_pcap,frame_type_pcap,seq_ctl,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2025-12-21 12:05:58.090000+00:00,beacon,f0:1d:2d:b9:f4:20,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,BGU-WIFI,-49.0,1,2412,,,,0,0,99.99,917,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,381.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,beacon,496.0,,,,Broadcast,Cisco,31
2025-12-21 12:05:58.091000+00:00,beacon,f0:1d:2d:b9:f4:21,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,eduroam,-46.0,1,2412,,,,0,0,99.99,917,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,380.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",eduroam,beacon,512.0,,,,Broadcast,Cisco,32
2025-12-21 12:05:58.091000+00:00,beacon,f0:1d:2d:b9:f4:23,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,just4visitors,-49.0,1,2412,,,,0,0,99.99,918,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,303.0,"0,1,3,5,7,32,42,11,70,45,61,127,221,221,221,221,133,149",just4visitors,beacon,544.0,,,,Broadcast,Cisco,34
2025-12-21 12:05:58.091000+00:00,beacon,f0:1d:2d:b9:f4:2a,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,iotred,-49.0,1,2412,,,,0,0,99.99,918,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:2a,392.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",iotred,beacon,560.0,,,,Broadcast,Cisco,35
2025-12-21 12:05:58.137000+00:00,beacon,4e:7f:a1:a6:c0:68,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,M-WM-^T-iPhone M-WM-,-55.0,1,2412,,,,0,0,99.99,918,,ff:ff:ff:ff:ff:ff,4e:7f:a1:a6:c0:68,361.0,"0,1,3,5,7,32,35,42,50,48,45,61,127",ה-iPhone של Ron,beacon,24080.0,,,,Broadcast,,1505
2025-12-21 12:05:58.193000+00:00,beacon,f0:1d:2d:b9:f4:20,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,BGU-WIFI,-49.0,1,2412,,,,0,0,99.99,918,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:20,381.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,beacon,608.0,,,,Broadcast,Cisco,38
2025-12-21 12:05:58.193000+00:00,beacon,f0:1d:2d:b9:f4:21,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,eduroam,-48.0,1,2412,,,,0,0,99.99,919,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:21,380.0,"0,1,3,5,7,32,42,48,11,70,54,45,61,127",eduroam,beacon,624.0,,,,Broadcast,Cisco,39
2025-12-21 12:05:58.193000+00:00,beacon,f0:1d:2d:b9:f4:23,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,just4visitors,-49.0,1,2412,,,,0,0,99.99,919,Cisco,ff:ff:ff:ff:ff:ff,f0:1d:2d:b9:f4:23,303.0,"0,1,3,5,7,32,42,11,70,45,61,127,221,221,221,221,133,149",just4visitors,beacon,656.0,,,,Broadcast,Cisco,41
2025-12-21 12:05:58.217000+00:00,probe-req,36:16:17:54:61:df,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,,-62.0,1,2412,,,,0,0,99.99,919,,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,215.0,"0,1,50,3,45,127,221,221,221,221",<MISSING>,probe-req,39152.0,,,,Broadcast,Broadcast,2447
2025-12-21 12:05:58.218000+00:00,probe-resp,f0:1d:2d:b9:f4:20,36:16:17:54:61:df,f0:1d:2d:b9:f4:20,BGU-WIFI,-48.0,1,2412,,,,0,0,99.99,919,Cisco,36:16:17:54:61:df,,375.0,"0,1,3,7,32,42,48,11,70,54,45,61,127",BGU-WIFI,probe-resp,720.0,,,,,,45
