timestamp_utc,frame_type,src_mac,dst_mac,bssid,ssid,rssi_dbm,channel,freq_mhz,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms,src_vendor,seq_ctl,frame_len,ie_ids,ie_fingerprint,ie_vendor_ouis,_match_delta_ms,dst_vendor_pcap,bssid_vendor_pcap,seq_num
2026-01-20 16:34:45.791000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-86.0,1,2412,,,,0,0,99.99,916,,55152.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3447
2026-01-20 16:34:45.893000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-88.0,1,2412,,,,0,0,99.99,916,,55168.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3448
2026-01-20 16:34:46.025000+00:00,heartbeat,nan,nan,nan,,,1,2412,,,,0,0,99.99,739,,,,,,,,,,
2026-01-20 16:34:46.098000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-92.0,1,2412,,,,0,0,99.99,917,,55200.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3450
2026-01-20 16:34:46.258000+00:00,beacon,3a:40:9b:19:0f:93,ff:ff:ff:ff:ff:ff,3a:40:9b:19:0f:93,ה-iPhone של Ron,-66.0,1,2412,,,,0,0,99.99,917,,30304.0,256.0,"1,50,45,61,127",1:82848b962430486c;50:0c121860;45:2d001bffff000000000000000000000000000000000000000000;61:06001500000000000000000000000000000000000000;127:0400000000000040,,,Broadcast,,1894
2026-01-20 16:34:46.303000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-86.0,1,2412,,,,0,0,99.99,918,,55232.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3452
2026-01-20 16:34:46.361000+00:00,beacon,3a:40:9b:19:0f:93,ff:ff:ff:ff:ff:ff,3a:40:9b:19:0f:93,ה-iPhone של Ron,-72.0,1,2412,,,,0,0,99.99,918,,30320.0,256.0,"1,50,45,61,127",1:82848b962430486c;50:0c121860;45:2d001bffff000000000000000000000000000000000000000000;61:06001500000000000000000000000000000000000000;127:0400000000000040,,,Broadcast,,1895
2026-01-20 16:34:46.441000+00:00,probe-req,bc:ff:4d:5f:cd:58,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Dima,-74.0,1,2412,,,,0,0,99.99,919,Espressi,19472.0,86.0,"1,50",1:8b9682840c183060;50:6c122448,,,Broadcast,Broadcast,1217
2026-01-20 16:34:46.508000+00:00,beacon,ae:e7:65:bd:91:f3,ff:ff:ff:ff:ff:ff,ae:e7:65:bd:91:f3,,-89.0,1,2412,,,,0,0,99.99,919,,55264.0,256.0,"1,50,45,61,127,221,221,221",1:82848b962430486c;50:0c121860;45:2d0017ffff000000000000000000000000000000000000000000;61:01001500000000000000000000000000000000000000;127:0400000000000040;221:0017f206010103010000;221:0010180201001c0000;221:0050f20201018000,"0017f2,001018,0050f2",,Broadcast,,3454
2026-01-20 16:34:46.564000+00:00,probe-req,bc:ff:4d:5f:cd:58,ff:ff:ff:ff:ff:ff,ff:ff:ff:ff:ff:ff,Dima,-77.0,1,2412,,,,0,0,99.99,919,Espressi,19488.0,86.0,"1,50",1:8b9682840c183060;50:6c122448,,,Broadcast,Broadcast,1218
