timestamp_utc,event_type,address,address_type,rssi_dbm,company_id,company_name,adv_data_hex,flags,tx_power,gps_lat,gps_lon,gps_alt_m,gps_fix,gps_num_sats,gps_hdop,gps_age_ms
2025-12-29T11:16:14.992Z,heartbeat,,,,,,,,,31.264356666666668,34.8042695,297.7,1,8,1.12,902
2025-12-29T11:16:16.992Z,heartbeat,,,,,,,,,31.264358666666666,34.80426516666667,297.3,1,8,1.12,903
2025-12-29T11:16:18.993Z,heartbeat,,,,,,,,,31.264358166666668,34.804262,297.1,1,8,1.12,904
2025-12-29T11:16:20.994Z,heartbeat,,,,,,,,,31.264359833333334,34.804258833333336,296.8,1,7,1.15,906
2025-12-29T11:16:22.995Z,heartbeat,,,,,,,,,31.264373166666665,34.804256333333335,296.4,1,7,1.15,906
2025-12-29T11:16:24.996Z,heartbeat,,,,,,,,,31.264386000000002,34.80424583333333,296.6,1,8,1.12,902
2025-12-29T11:16:26.996Z,heartbeat,,,,,,,,,31.264400666666667,34.804233833333335,297.2,1,8,1.12,908
2025-12-29T11:16:28.997Z,heartbeat,,,,,,,,,31.264416666666666,34.8042195,297.2,1,7,1.15,908
2025-12-29T11:16:30.998Z,heartbeat,,,,,,,,,31.264427,34.80420783333334,298.0,1,8,1.12,909
2025-12-29T11:16:32.999Z,heartbeat,,,,,,,,,31.264432666666668,34.80419166666667,298.1,1,8,1.15,909
2025-12-29T11:16:35.000Z,heartbeat,,,,,,,,,31.264443333333332,34.804169333333334,297.3,1,8,1.12,909
2025-12-29T11:16:37.001Z,heartbeat,,,,,,,,,31.264451333333334,34.8041515,296.7,1,8,1.12,912
2025-12-29T11:16:39.001Z,heartbeat,,,,,,,,,31.2644525,34.80413,296.1,1,8,1.12,907
2025-12-29T11:16:41.002Z,heartbeat,,,,,,,,,31.264448333333334,34.804108166666666,296.1,1,7,1.25,914
2025-12-29T11:16:43.003Z,heartbeat,,,,,,,,,31.26444,34.80408533333333,297.3,1,8,1.12,911
2025-12-29T11:16:45.004Z,heartbeat,,,,,,,,,31.2644335,34.8040625,297.8,1,8,1.12,914
2025-12-29T11:16:47.005Z,heartbeat,,,,,,,,,31.264425166666665,34.804039833333334,298.3,1,8,1.12,912
2025-12-29T11:16:49.006Z,heartbeat,,,,,,,,,31.264411166666665,34.8040245,298.4,1,8,1.12,913
2025-12-29T11:16:51.006Z,heartbeat,,,,,,,,,31.264396166666668,34.8040165,298.2,1,8,1.12,912
2025-12-29T11:16:53.007Z,heartbeat,,,,,,,,,31.26438033333333,34.804016,297.6,1,8,1.12,913
2025-12-29T11:16:55.008Z,heartbeat,,,,,,,,,31.2643635,34.80401666666667,298.0,1,8,1.12,915
2025-12-29T11:16:57.008Z,heartbeat,,,,,,,,,31.264356166666666,34.8040175,297.5,1,8,1.12,916
2025-12-29T11:16:59.009Z,heartbeat,,,,,,,,,31.264354,34.804021166666665,297.6,1,8,1.12,920
2025-12-29T11:17:01.009Z,heartbeat,,,,,,,,,31.264354,34.804021166666665,297.6,1,8,1.12,2920
2025-12-29T11:17:03.010Z,heartbeat,,,,,,,,,31.264353333333332,34.80403616666667,296.8,1,8,1.12,1912
2025-12-29T11:17:05.011Z,heartbeat,,,,,,,,,31.264336,34.8040255,294.8,1,8,1.12,917
2025-12-29T11:17:07.012Z,heartbeat,,,,,,,,,31.264325666666668,34.804029666666665,293.9,1,8,1.12,920
2025-12-29T11:17:09.013Z,heartbeat,,,,,,,,,31.2643115,34.80404083333333,293.3,1,8,1.12,919
2025-12-29T11:17:11.013Z,heartbeat,,,,,,,,,31.2643035,34.804059,292.6,1,8,1.12,919
2025-12-29T11:17:13.014Z,heartbeat,,,,,,,,,31.264294166666666,34.8040865,293.4,1,8,1.12,918
2025-12-29T11:17:15.015Z,heartbeat,,,,,,,,,31.26428883333333,34.804112833333335,295.0,1,8,1.12,920
2025-12-29T11:17:17.015Z,heartbeat,,,,,,,,,31.264282333333334,34.80414,295.7,1,8,1.12,913
2025-12-29T11:17:19.016Z,heartbeat,,,,,,,,,31.2642785,34.804164666666665,295.4,1,8,1.12,920
2025-12-29T11:17:21.017Z,heartbeat,,,,,,,,,31.264272333333334,34.804178666666665,295.3,1,8,1.12,919
2025-12-29T11:17:23.018Z,heartbeat,,,,,,,,,31.2642735,34.80419466666667,295.7,1,8,1.12,915
2025-12-29T11:17:25.019Z,heartbeat,,,,,,,,,31.264275,34.804197,295.7,1,7,1.25,919
2025-12-29T11:17:27.019Z,heartbeat,,,,,,,,,31.264277166666666,34.804196166666664,296.0,1,8,1.12,917
2025-12-29T11:17:29.020Z,heartbeat,,,,,,,,,31.264279166666668,34.80420816666667,296.5,1,8,1.12,916
2025-12-29T11:17:31.020Z,heartbeat,,,,,,,,,31.264282333333334,34.804226166666666,297.1,1,8,1.12,914
2025-12-29T11:17:33.021Z,heartbeat,,,,,,,,,31.264285,34.804249166666665,296.8,1,8,1.12,916
2025-12-29T11:17:35.022Z,heartbeat,,,,,,,,,31.2642945,34.8042605,296.1,1,8,1.12,915
2025-12-29T11:17:37.023Z,heartbeat,,,,,,,,,31.264305,34.80427016666667,296.0,1,8,1.12,914
2025-12-29T11:17:39.024Z,heartbeat,,,,,,,,,31.264311,34.804285666666665,296.5,1,8,1.12,917
2025-12-29T11:17:41.024Z,heartbeat,,,,,,,,,31.264322833333335,34.804291666666664,297.0,1,8,1.12,916
2025-12-29T11:17:43.025Z,heartbeat,,,,,,,,,31.264344333333334,34.80428666666667,297.7,1,8,1.12,916
2025-12-29T11:17:45.026Z,heartbeat,,,,,,,,,31.264362,34.804277166666665,298.0,1,8,1.12,914
2025-12-29T11:17:47.026Z,heartbeat,,,,,,,,,31.264379333333334,34.8042615,297.2,1,8,1.13,912
2025-12-29T11:17:49.027Z,heartbeat,,,,,,,,,31.26439166666667,34.80424983333333,297.5,1,8,1.13,914
2025-12-29T11:17:51.028Z,heartbeat,,,,,,,,,31.26440716666667,34.80423016666667,297.0,1,8,1.13,910
2025-12-29T11:17:53.029Z,heartbeat,,,,,,,,,31.264421,34.80421583333333,297.1,1,8,1.13,910
2025-12-29T11:17:55.029Z,heartbeat,,,,,,,,,31.264427833333333,34.80419966666667,297.9,1,8,1.13,912
2025-12-29T11:17:57.030Z,heartbeat,,,,,,,,,31.264427833333333,34.80419966666667,297.9,1,8,1.13,2913
2025-12-29T11:17:59.031Z,heartbeat,,,,,,,,,31.264427833333333,34.80419966666667,297.9,1,8,1.13,4913
2025-12-29T11:18:01.031Z,heartbeat,,,,,,,,,31.264439166666666,34.804145166666665,297.2,1,8,1.13,917
2025-12-29T11:18:03.032Z,heartbeat,,,,,,,,,31.264439166666666,34.804145166666665,297.2,1,8,1.13,2918
2025-12-29T11:18:05.033Z,heartbeat,,,,,,,,,31.264439166666666,34.804145166666665,297.2,1,8,1.13,4919
2025-12-29T11:18:07.034Z,heartbeat,,,,,,,,,31.264409,34.8041115,297.5,1,8,1.13,913
2025-12-29T11:18:09.034Z,heartbeat,,,,,,,,,31.264407833333333,34.804111166666665,297.6,1,8,1.13,918
2025-12-29T11:18:11.035Z,heartbeat,,,,,,,,,31.264407833333333,34.804111166666665,297.6,1,8,1.13,2918
2025-12-29T11:18:13.036Z,heartbeat,,,,,,,,,31.264403166666668,34.80414416666667,296.3,1,8,1.13,918
2025-12-29T11:18:15.037Z,heartbeat,,,,,,,,,31.264397166666665,34.80416566666667,295.4,1,8,1.13,914
2025-12-29T11:18:17.037Z,heartbeat,,,,,,,,,31.264386666666667,34.8041895,294.6,1,8,1.13,918
2025-12-29T11:18:19.038Z,heartbeat,,,,,,,,,31.264386666666667,34.8041895,294.6,1,8,1.13,2918
2025-12-29T11:18:21.039Z,heartbeat,,,,,,,,,31.264386666666667,34.8041895,294.6,1,8,1.13,4919
2025-12-29T11:18:23.040Z,heartbeat,,,,,,,,,31.26436216666667,34.8042455,294.9,1,8,1.13,920
2025-12-29T11:18:25.041Z,heartbeat,,,,,,,,,31.264351833333333,34.80424583333333,295.3,1,8,1.13,918
2025-12-29T11:18:27.042Z,heartbeat,,,,,,,,,31.26434933333333,34.80423583333334,295.5,1,8,1.13,1918
2025-12-29T11:18:29.043Z,heartbeat,,,,,,,,,31.264351833333333,34.804212666666665,295.9,1,8,1.13,919
2025-12-29T11:18:31.044Z,heartbeat,,,,,,,,,31.264356,34.804199833333335,294.4,1,8,1.13,919
2025-12-29T11:18:33.044Z,heartbeat,,,,,,,,,31.264358,34.804190166666665,293.7,1,8,1.13,1915
2025-12-29T11:18:35.045Z,heartbeat,,,,,,,,,31.264363,34.8041745,292.7,1,8,1.13,922
2025-12-29T11:18:37.046Z,heartbeat,,,,,,,,,31.264364,34.80416983333333,291.9,1,8,1.13,1919
2025-12-29T11:18:39.047Z,heartbeat,,,,,,,,,31.264364,34.80416983333333,291.9,1,8,1.13,3920
2025-12-29T11:18:41.048Z,heartbeat,,,,,,,,,31.264370833333334,34.80412916666667,291.1,1,8,1.13,921
2025-12-29T11:18:43.049Z,heartbeat,,,,,,,,,31.264380166666665,34.80410633333334,291.1,1,8,1.13,924
2025-12-29T11:18:45.050Z,heartbeat,,,,,,,,,31.264376833333333,34.80409933333333,292.1,1,8,1.13,1917
2025-12-29T11:18:47.050Z,heartbeat,,,,,,,,,31.264371,34.8040955,290.4,1,8,1.13,920
2025-12-29T11:18:49.051Z,heartbeat,,,,,,,,,31.264367333333333,34.804096666666666,289.5,1,8,1.13,1925
2025-12-29T11:18:51.052Z,heartbeat,,,,,,,,,31.264367333333333,34.804096666666666,289.5,1,8,1.13,3926
2025-12-29T11:18:53.052Z,heartbeat,,,,,,,,,31.264335666666668,34.804097166666665,290.1,1,8,1.13,924
2025-12-29T11:18:55.053Z,heartbeat,,,,,,,,,31.264327166666668,34.80410166666667,289.7,1,8,1.13,925
2025-12-29T11:18:57.054Z,heartbeat,,,,,,,,,31.264327833333333,34.804115833333334,290.5,1,8,1.13,927
2025-12-29T11:18:59.054Z,heartbeat,,,,,,,,,31.2643275,34.804132,291.6,1,8,1.13,928
2025-12-29T11:19:01.055Z,heartbeat,,,,,,,,,31.264328666666668,34.804137,291.2,1,8,1.13,926
2025-12-29T11:19:03.056Z,heartbeat,,,,,,,,,31.264342666666668,34.804139,291.6,1,8,1.13,927
2025-12-29T11:19:05.057Z,heartbeat,,,,,,,,,31.264354,34.804143333333336,292.9,1,8,1.13,926
2025-12-29T11:19:07.058Z,heartbeat,,,,,,,,,31.264361333333333,34.804143333333336,293.7,1,8,1.13,927
2025-12-29T11:19:09.059Z,heartbeat,,,,,,,,,31.264382,34.804142,292.6,1,8,1.13,929
2025-12-29T11:19:11.060Z,heartbeat,,,,,,,,,31.2643935,34.80415266666667,292.0,1,8,1.13,927
2025-12-29T11:19:13.061Z,heartbeat,,,,,,,,,31.264392666666666,34.804172666666666,292.3,1,8,1.13,929
2025-12-29T11:19:15.062Z,heartbeat,,,,,,,,,31.264381333333333,34.804186,292.3,1,8,1.13,933
2025-12-29T11:19:17.062Z,heartbeat,,,,,,,,,31.2643695,34.804182833333336,291.9,1,8,1.13,933
2025-12-29T11:19:19.063Z,heartbeat,,,,,,,,,31.2643625,34.804183333333334,291.7,1,8,1.13,929
2025-12-29T11:19:21.064Z,heartbeat,,,,,,,,,31.264351666666666,34.8042025,293.2,1,8,1.13,933
2025-12-29T11:19:23.065Z,heartbeat,,,,,,,,,31.264333166666667,34.80420266666667,293.1,1,8,1.13,931
2025-12-29T11:19:25.066Z,heartbeat,,,,,,,,,31.26432,34.804193833333336,293.1,1,8,1.13,936
2025-12-29T11:19:27.067Z,heartbeat,,,,,,,,,31.2643225,34.80417383333333,293.6,1,8,1.13,933
2025-12-29T11:19:29.068Z,heartbeat,,,,,,,,,31.264324,34.804155,293.9,1,8,1.13,937
2025-12-29T11:19:31.068Z,heartbeat,,,,,,,,,31.2643295,34.804137,294.3,1,8,1.13,934
2025-12-29T11:19:33.069Z,heartbeat,,,,,,,,,31.26433816666667,34.8041375,295.3,1,8,1.13,936
2025-12-29T11:19:35.070Z,heartbeat,,,,,,,,,31.264353166666666,34.8041375,294.6,1,8,1.13,938
2025-12-29T11:19:37.071Z,heartbeat,,,,,,,,,31.26435783333333,34.80414666666667,293.3,1,8,1.13,937
2025-12-29T11:19:39.072Z,heartbeat,,,,,,,,,31.264355333333334,34.80416116666667,293.7,1,8,1.13,937
2025-12-29T11:19:41.073Z,heartbeat,,,,,,,,,31.264358666666666,34.804170666666664,293.9,1,8,1.13,938
2025-12-29T11:19:43.073Z,heartbeat,,,,,,,,,31.264364,34.80418433333333,294.0,1,8,1.13,939
2025-12-29T11:19:45.074Z,heartbeat,,,,,,,,,31.2643805,34.804179833333336,293.6,1,8,1.13,940
2025-12-29T11:19:47.075Z,heartbeat,,,,,,,,,31.264384833333335,34.804179,294.3,1,8,1.13,941
